Month,avg_consumption
1,69511.57471896384
2,68122.76654608789
12,65198.42573924731
11,59739.23868055556
3,59661.81787634409
4,51329.719318181815
10,50073.87661290322
5,45913.50403225807
9,45499.28986111111
7,45430.47103494623
6,45023.438125
8,42266.62748655914
