Year,average_CO2_emission_g_kWh
2017,66.063299086758
2013,61.30382420091324
2012,59.07496584699454
2016,55.42332650273224
2018,49.3148401826484
2022,47.51076158940398
2015,44.88607305936073
2014,39.75593607305936
2019,34.15285388127854
2021,34.05262557077626
2020,32.658185336976324
