Month,average_CO2_emission_g_kWh
11,66.9948611111111
2,58.50489013933548
10,56.958467741935486
12,56.496706989247315
1,55.49987781036168
3,53.68426197458456
9,48.667291666666664
4,39.25984848484848
7,38.91579301075269
8,37.46229838709677
6,30.95625
5,29.60483870967742
