source,average_consumption
Nuclear,43861.96940172625
Hydroelectric,7203.971959341045
Gas,3401.8816541798105
Wind,2945.059197555205
Solar,1038.8354309060637
Bioenergy,968.4405724237645
Coal,935.9946876095338
"Fuel oil",280.97861899754645
"Pumped storage",-786.5036200928847
