Year,average_physical_exchanges
2022,88.42094370860927
2017,-4677.953824200913
2016,-4811.0411543715845
2021,-5207.017465753424
2020,-5210.022199453552
2012,-5253.993681693989
2013,-5606.884817351598
2019,-6675.656107305936
2018,-7274.784246575343
2015,-7372.745205479452
2014,-7747.767408675799
