Year,avg_consumption
2022,56968.44977924945
2013,56185.52985159817
2012,55396.961805555555
2017,54685.462043379
2016,54681.28773907104
2018,54283.219520547944
2015,54012.87779680365
2019,53707.43630136986
2021,53332.92676940639
2014,52779.499143835616
2020,50840.46795309654
